id,d11,d12,d13,d14,d15,d16
370630001011,443,493,548,556,572,637
370630001012,708,687,615,555,564,569
370630001021,917,981,1085,1129,1139,1193
370630001022,815,755,730,729,734,681
370630002001,417,430,464,567,499,486
370630002002,417,414,404,329,338,328
370630002003,472,479,500,407,442,473
370630003011,462,551,606,524,471,495
370630003012,322,299,335,321,292,337
370630003013,335,305,285,333,368,354
370630003021,311,345,332,347,395,433
370630003022,572,570,584,543,492,494
370630003023,721,690,728,701,728,748
370630004011,401,400,376,406,427,440
370630004012,379,422,439,452,473,490
370630004013,444,408,477,455,436,431
370630004021,1111,1080,1054,1044,1058,1064
370630005001,289,151,132,147,122,144
370630005002,266,337,327,287,352,330
370630005003,505,442,444,468,514,568
370630005004,363,400,368,413,409,473
370630006001,948,959,900,931,985,1116
370630006002,747,874,961,946,994,936
370630006003,168,174,150,209,235,264
370630007001,472,606,585,584,619,578
370630007002,364,360,389,449,485,595
370630007003,474,442,477,567,565,550
370630009001,304,320,317,334,331,331
370630009002,339,323,365,359,431,400
370630010011,440,414,416,367,376,342
370630010012,363,352,285,389,379,445
370630010013,455,522,565,547,520,475
370630010021,890,981,1055,1021,1061,979
370630010022,211,249,344,421,355,329
370630010023,285,324,306,310,375,297
370630010024,377,332,295,392,379,494
370630011001,500,627,643,671,738,800
370630011002,501,473,519,542,509,532
370630013011,476,470,451,477,524,548
370630013031,414,408,420,475,475,479
370630013032,188,210,198,190,218,219
370630013041,1031,1042,1048,1049,1081,1151
370630014001,465,433,380,343,273,238
370630014002,703,708,743,710,700,688
370630015011,36,39,37,43,31,35
370630015021,938,975,943,1123,1139,1168
370630015022,323,486,506,512,600,604
370630015023,836,823,852,891,914,1056
370630015024,335,319,311,318,271,270
370630015031,26,0,0,0,0,0
370630016011,432,390,423,449,475,403
370630016012,1160,1128,1144,1123,1156,1255
370630016013,583,624,646,673,615,599
370630016031,223,214,206,269,284,302
370630016032,890,1003,1087,1135,1193,1214
370630016033,505,501,544,514,506,498
370630016034,685,618,606,551,548,575
370630016041,797,812,774,754,875,825
370630016042,1130,1104,1135,1088,1081,1039
370630016043,576,588,608,637,664,677
370630017051,682,723,685,633,709,670
370630017052,772,860,928,1024,1024,1022
370630017053,600,526,522,581,553,667
370630017061,899,1006,1165,1341,1314,1455
370630017062,1075,961,996,962,1039,989
370630017071,428,422,432,462,461,470
370630017072,736,735,810,854,846,835
370630017073,319,258,246,220,182,193
370630017074,709,752,736,732,802,874
370630017075,736,831,803,771,814,842
370630017081,1520,1611,1726,1769,1780,1769
370630017091,256,314,356,309,327,273
370630017092,385,332,270,226,307,372
370630017093,1683,1809,1828,1897,1904,2037
370630017101,1182,1270,1208,1163,1108,1200
370630017102,613,517,586,711,656,568
370630017111,447,492,436,467,440,490
370630017112,685,694,678,746,831,784
370630017113,795,757,770,711,771,812
370630018011,701,656,674,772,835,587
370630018012,163,157,187,149,196,261
370630018013,944,1003,1021,1016,936,1129
370630018014,279,332,334,378,452,432
370630018015,237,243,247,218,242,205
370630018021,591,565,597,724,711,790
370630018022,724,617,599,546,578,656
370630018023,842,835,781,852,768,642
370630018024,304,296,267,225,286,336
370630018061,778,783,785,820,882,852
370630018062,1350,1360,1385,1331,1334,1373
370630018071,1201,1238,1354,1271,1203,1113
370630018072,1145,1078,1144,1159,1196,1275
370630018073,1136,1067,911,983,957,952
370630018081,736,782,673,767,762,800
370630018082,956,1020,1328,1435,1821,2145
370630018091,1324,1240,1230,1250,1300,1455
370630018092,1277,1294,1274,1142,1129,1034
370630019001,205,192,200,227,260,282
370630019002,780,816,904,914,1031,1097
370630020071,862,866,883,836,969,892
370630020072,951,999,968,966,862,997
370630020073,386,381,404,402,370,333
370630020081,376,374,367,388,386,401
370630020082,826,859,888,893,888,854
370630020091,713,800,709,662,603,607
370630020092,437,414,381,426,486,534
370630020093,642,703,707,681,714,696
370630020131,600,632,612,639,580,598
370630020132,366,387,374,418,412,419
370630020133,821,827,869,851,904,894
370630020151,837,862,848,962,1101,1066
370630020152,1073,1178,1043,1076,938,1043
370630020153,432,416,463,382,426,426
370630020161,1341,1335,1411,1257,1260,1340
370630020162,1129,1161,1199,1419,1394,1296
370630020171,788,815,911,885,932,959
370630020172,683,714,639,662,715,734
370630020173,1344,1408,1495,1633,1772,1916
370630020181,1332,1309,1442,1509,1302,1264
370630020182,1471,1423,1523,1563,1675,1657
370630020183,946,980,1023,1013,1022,1037
370630020191,755,797,814,888,805,756
370630020192,755,825,814,850,864,926
370630020193,774,780,800,716,809,804
370630020201,785,749,729,797,847,762
370630020202,1250,1351,1437,1503,1524,1663
370630020211,1773,1715,1886,1711,1611,1452
370630020212,357,511,432,505,508,615
370630020221,1330,1318,1314,1153,1099,1202
370630020222,1011,1045,1061,1168,1228,1173
370630020231,513,566,650,611,586,692
370630020232,757,710,665,660,740,671
370630020241,1555,1552,1596,1600,1588,1670
370630020242,525,495,443,447,551,565
370630020243,714,731,755,795,754,755
370630020251,794,861,995,1023,1057,1014
370630020252,1048,1071,950,944,963,1021
370630020253,546,611,597,678,639,706
370630020261,793,743,766,964,945,990
370630020262,1637,1667,1709,1632,1708,1740
370630020271,532,536,691,740,815,662
370630020272,1991,2047,1931,1909,2169,2370
370630020273,950,853,862,983,907,962
370630020281,697,838,960,1047,1051,1066
370630020282,649,571,557,634,729,798
370630020283,1429,1506,1541,1651,1601,1746
370630021001,718,750,827,860,844,932
370630021002,916,902,901,801,873,918
370630021003,703,696,644,691,737,664
370630022001,746,756,855,885,858,894
370630023001,280,292,268,240,219,211
370630023002,31,72,92,96,103,106
370639801001,25,39,32,25,0,0
